hostname,sn,siteName,total,l1&l2 up,l1&l2 down,l1 up & l2 down,L1 and l2 unknown,admin-down,err-disabled,port utilisation (%),port availability (%)
c1xr03,eab19849667b,MPLS CORE,33,33,0,0,0,0,0,100.0,0.0
c1xr01,303ef2beb338,MPLS CORE,31,31,0,0,0,0,0,100.0,0.0
c1xr04,5bc8d7731a2d,MPLS CORE,33,33,0,0,0,0,0,100.0,0.0
c1xr06,0cc6e8184696,MPLS CORE,33,33,0,0,0,0,0,100.0,0.0
c1xr05,291575d76603,MPLS CORE,31,31,0,0,0,0,0,100.0,0.0
c1xr02,daaa27594ff5,MPLS CORE,31,31,0,0,0,0,0,100.0,0.0
s1xsw04,1AEC44D7BEC7301D9824C40F0A17D2B8,SITE 1 - Users,9,9,0,0,0,0,0,100.0,0.0
s1xsw05,48D5AA877626622C2BCA3E15ABECC4A7,SITE 1 - Users,7,7,0,0,0,0,0,100.0,0.0
s1xgw1,D59DF0117331E56E9AD5A67E3B5D904E,SITE 1 - Users,8,8,0,0,0,0,0,100.0,0.0
s1xgw2,B59D046ECD68B12E9803FD53B3F43E6B,SITE 1 - Users,6,6,0,0,0,0,0,100.0,0.0
d1xfw01,42c18111c48f,SITE 1 - Users,33,33,0,0,0,0,0,100.0,0.0
s1xsw03,CA86EAAE3A09DBA6BA0873373B980B4C,SITE 1 - Users,9,9,0,0,0,0,0,100.0,0.0
s1xsw01,04EBF26CE8D30151E09E0ADDF374FABC,SITE 1 - Users,9,9,0,0,0,0,0,100.0,0.0
d1xr02,a000005,SITE 1 - Users,3,3,0,0,0,0,0,100.0,0.0
s1xsw02,4C3BCD87D9B5D5198520E5A007A52F35,SITE 1 - Users,9,9,0,0,0,0,0,100.0,0.0
s1xsw06,7F41ADA9A64A2D4D27212C584E606C12,SITE 1 - Users,7,7,0,0,0,0,0,100.0,0.0
d1xr01,a000004,SITE 1 - Users,3,3,0,0,0,0,0,100.0,0.0
s2xgw1,FF5EC10DACCD4D01217E2C15FF3219D1,SITE 2 - Management,6,6,0,0,0,0,0,100.0,0.0
d2xfw01,e7ad6ce97d43,SITE 2 - Management,31,31,0,0,0,0,0,100.0,0.0
s2xsw01,5171A617C468E8EAD8F2048814BD3948,SITE 2 - Management,5,5,0,0,0,0,0,100.0,0.0
s3xasw03,7198377790A03F428E1C038EA4EF8B66,SITE 3 - Server Farm,5,5,0,0,0,0,0,100.0,0.0
s3xgw2,34DD1F8A41D640616420C806218FC904,SITE 3 - Server Farm,9,9,0,0,0,0,0,100.0,0.0
d3xr02,a000009,SITE 3 - Server Farm,3,3,0,0,0,0,0,100.0,0.0
s3xgw1,300F1478C6CBE5021E91B87E391A29D2,SITE 3 - Server Farm,9,9,0,0,0,0,0,100.0,0.0
s3xdsw04,D249D8090EA37136274D50CF8D5C9A26,SITE 3 - Server Farm,8,8,0,0,0,0,0,100.0,0.0
s3xdsw01,4237F4D2E10890AAE1E1F469187CF057,SITE 3 - Server Farm,7,7,0,0,0,0,0,100.0,0.0
s3xasw01,E1EB311F49EACCB01CDD05500705FE24,SITE 3 - Server Farm,5,5,0,0,0,0,0,100.0,0.0
s3xdsw02,F3D6908E2AF5EC86B67C9DD1BCFC81A1,SITE 3 - Server Farm,7,7,0,0,0,0,0,100.0,0.0
s3xdsw03,EEC4ECE5090A9E39AB5C41ED040CAE74,SITE 3 - Server Farm,8,8,0,0,0,0,0,100.0,0.0
d3xr01,a000008,SITE 3 - Server Farm,3,3,0,0,0,0,0,100.0,0.0
s3xasw04,F7962F589B50A7431A5D48E23FC8EC47,SITE 3 - Server Farm,5,5,0,0,0,0,0,100.0,0.0
s3xasw02,AA758CCE35D59BBA6108A7774E2046A1,SITE 3 - Server Farm,5,5,0,0,0,0,0,100.0,0.0
d4xr01,a00000a,SITE 4 - VXLANs,3,3,0,0,0,0,0,100.0,0.0
s4xsw01,A782C7E99EF451909BADBFA0912DBFB7,SITE 4 - VXLANs,5,5,0,0,0,0,0,100.0,0.0
d4xr02,a00000b,SITE 4 - VXLANs,3,3,0,0,0,0,0,100.0,0.0
s4xsw06,FFA802927CEBA097720D663776616E06,SITE 4 - VXLANs,4,4,0,0,0,0,0,100.0,0.0
s4xsw04,1ACC4C10A9256A440B89583C95A8243E,SITE 4 - VXLANs,6,6,0,0,0,0,0,100.0,0.0
s4xsw05,6EFDE9E0EFF5C2BCD1B05B0CA1B67A3F,SITE 4 - VXLANs,7,7,0,0,0,0,0,100.0,0.0
s4xsw07,03B74C53392A877190F2F47D44811791,SITE 4 - VXLANs,7,7,0,0,0,0,0,100.0,0.0
s4xsw02,72606E0653E2447A9A512AFA43264D35,SITE 4 - VXLANs,5,5,0,0,0,0,0,100.0,0.0
s4xsw03,BC8EC0CA486DF93050283BCBFA885591,SITE 4 - VXLANs,6,6,0,0,0,0,0,100.0,0.0
s5xr04,a000034,SITE 5 Multicast,3,3,0,0,0,0,0,100.0,0.0
s5xr06,a000036,SITE 5 Multicast,5,5,0,0,0,0,0,100.0,0.0
s5xr01,a000031,SITE 5 Multicast,5,5,0,0,0,0,0,100.0,0.0
s5xr07,a000037,SITE 5 Multicast,2,2,0,0,0,0,0,100.0,0.0
s5xr02,a000032,SITE 5 Multicast,4,4,0,0,0,0,0,100.0,0.0
s5xr08,a000038,SITE 5 Multicast,2,2,0,0,0,0,0,100.0,0.0
s5xr05,a000035,SITE 5 Multicast,3,3,0,0,0,0,0,100.0,0.0
s5xr03,a000033,SITE 5 Multicast,3,3,0,0,0,0,0,100.0,0.0
