hostname,sn,siteName,total,l1&l2 up,l1&l2 down,l1 up & l2 down,L1 and l2 unknown,admin-down,err-disabled,port utilisation (%),port availability (%)
s3xasw03,7198377790A03F428E1C038EA4EF8B66,SITE 3 - Server Farm,5,5,0,0,0,0,0,100.0,0.0
s3xgw2,34DD1F8A41D640616420C806218FC904,SITE 3 - Server Farm,9,9,0,0,0,0,0,100.0,0.0
d3xr02,a000009,SITE 3 - Server Farm,3,3,0,0,0,0,0,100.0,0.0
s3xgw1,300F1478C6CBE5021E91B87E391A29D2,SITE 3 - Server Farm,9,9,0,0,0,0,0,100.0,0.0
s3xdsw04,D249D8090EA37136274D50CF8D5C9A26,SITE 3 - Server Farm,8,8,0,0,0,0,0,100.0,0.0
s3xdsw01,4237F4D2E10890AAE1E1F469187CF057,SITE 3 - Server Farm,7,7,0,0,0,0,0,100.0,0.0
s3xasw01,E1EB311F49EACCB01CDD05500705FE24,SITE 3 - Server Farm,5,5,0,0,0,0,0,100.0,0.0
s3xdsw02,F3D6908E2AF5EC86B67C9DD1BCFC81A1,SITE 3 - Server Farm,7,7,0,0,0,0,0,100.0,0.0
s3xdsw03,EEC4ECE5090A9E39AB5C41ED040CAE74,SITE 3 - Server Farm,8,8,0,0,0,0,0,100.0,0.0
d3xr01,a000008,SITE 3 - Server Farm,3,3,0,0,0,0,0,100.0,0.0
s3xasw04,F7962F589B50A7431A5D48E23FC8EC47,SITE 3 - Server Farm,5,5,0,0,0,0,0,100.0,0.0
s3xasw02,AA758CCE35D59BBA6108A7774E2046A1,SITE 3 - Server Farm,5,5,0,0,0,0,0,100.0,0.0
